MiNg_100_CAISO,MiNg_150_CAISO,MiNg_100_ERCOT,MiNg_150_ERCOT,MiNg_100_MISO-W,MiNg_150_MISO-W,MiNg_100_NYISO,MiNg_150_NYISO,MiNg_100_PJM-W,MiNg_150_PJM-W,BaseCaseTax,HighWindTax,HighSolarTax,WinterNYTax
90.29,105.44,63.68,90.96,0.09,0.01,78.88,96.54,78.41,103.14,62.25,54.2,62.41,54.2
90.29,105.44,67.01,96.32,0.1,0.01,1.86,1.68,78.29,103.13,62.25,52.4,62.41,54.2
90.29,105.45,71.9,97.34,0.06,0.01,1.36,1.11,73.47,98.34,62.25,46.68,72.51,54.2
90.29,105.44,66.23,90.96,0,0,1.36,1.11,67.52,87.87,54.2,46.68,54.2,54.2
73.46,84.93,67.92,90.96,0,0,1.36,1.11,67.41,87.64,54.2,54.2,46.68,41.98
69.81,81.61,67.3,96.38,0,0,1.36,1.11,66.7,86.39,54.2,58.84,46.68,41.98
70.01,84.17,63.89,82.89,0,0,1.36,1.11,66.61,86.6,46.68,95.97,46.68,9.19
69.94,84.13,61.19,83.03,0,0,1.36,0,68.46,87.25,46.68,104.55,46.68,9.19
70.03,84.17,61.18,92.22,0,0,1.36,0,68.24,89.4,46.68,58.84,46.68,41.98
69.94,84.04,61.51,84.3,0,0,1.37,1.37,69.14,90.95,46.68,54.2,46.68,54.2
70,84.13,72.02,97.5,0,0,1.84,1.39,75.52,100.11,46.68,54.2,46.68,54.2
71.74,84.09,72.02,97.5,54.97,8.35,1.84,1.39,78.34,102.05,46.68,46.68,9.19,54.2
90.3,105.4,72.02,97.5,55,8.66,1.84,1.39,78.04,101.01,46.68,44.13,46.68,54.2
91.06,112.13,72.02,97.5,54.31,8.52,1.84,1.39,76.24,100.25,9.19,0,25.33,54.2
91.05,112.14,71.95,97.5,53.25,8.02,1.7,1.39,74.45,97.22,0,0,9.19,54.2
91.05,112.15,71.95,97.5,50.73,7.34,1.37,1.39,72.07,93.5,19.48,0,46.68,55.98
91.05,112.14,71.95,97.47,49.48,7.27,1.36,1.11,68.33,91.05,46.68,43.2,46.68,55.98
92.71,115.76,69.92,98.64,48.47,0.97,1.36,0.08,67.51,87.81,46.68,46.68,46.68,55.98
92.71,115.76,69.82,98.64,50.05,3.18,1.36,0,67.61,87.53,54.2,46.68,54.2,55.98
92.7,115.75,69.82,98.64,45.3,3.43,1.36,0,67.75,89.41,62.25,58.84,62.25,166.34
92.7,115.75,69.82,98.64,52.95,3.39,1.36,0,70.49,91.26,124.9,58.84,114.37,55.98
92.7,115.75,59.98,97.99,53.15,3.55,1.36,0,74.14,97.06,62.25,58.84,62.47,55.98
92.7,115.76,70.61,98.45,53.74,3.24,1.36,0,77.51,102.28,62.25,58.84,62.47,55.98
92.69,115.76,70.61,98.93,50.48,3.57,1.36,1.37,79.16,103.39,62.25,54.2,62.92,55.98
92.69,115.77,70.62,98.93,51.85,11.19,1.37,1.39,79.49,103.42,62.25,54.2,62.25,55.98
92.69,115.77,70.62,98.95,55.37,11.26,1.36,1.37,72.9,97.45,55.98,54.2,62.25,55.98
92.68,115.79,54.35,83.17,52.1,10.01,1.36,1.37,63.55,85.26,57.76,46.68,62.25,55.98
92.68,115.79,54.61,59.18,43,7.42,1.36,1.37,45.54,59.65,54.2,46.68,46.68,54.2
75.25,92.55,54.59,43.02,46.47,2.91,1.36,1.37,59.19,82.61,46.68,54.2,46.68,41.98
70.15,85.18,53.16,46.24,46.39,3.09,1.37,1.37,61.57,83.01,46.68,112.17,46.68,41.98
70.45,85.44,53.14,26.02,46.28,3.36,1.36,1.37,61.46,83.02,46.68,61.82,46.68,9.19
70.45,85.45,53.25,47.3,46.02,3.47,54.14,1.39,62.13,83.11,46.68,96.67,46.68,9.19
70.41,85.48,53.21,26.33,47.1,0.97,54.5,73.19,62.26,82.05,46.68,54.2,27.99,9.19
70.42,85.43,20.95,23.93,46.85,0.97,71.71,92.57,68.77,90.45,46.68,54.2,23.45,41.98
70.44,85.36,53.15,22.49,48.25,54.53,79.55,101.54,80.79,105.77,46.68,54.2,27.99,54.2
71.6,90.76,76.76,98.44,48.6,67.03,79.56,101.55,80.79,105.77,46.68,46.68,9.19,41.98
90.87,115.74,76.76,98.45,52.4,65.8,80.1,101.54,80.79,105.93,46.68,46.68,46.68,54.2
92.72,115.75,76.76,98.44,49.7,65.78,80.1,101.55,80.76,105.77,25.33,40.65,46.68,54.2
92.72,115.76,76.76,98.44,53.3,60.77,79.56,101.54,80.74,105.71,9.19,0,46.68,54.2
92.72,115.76,76.76,98.44,51.43,60.77,79.46,101.54,80.4,105.59,9.19,0,46.68,55.98
92.71,115.76,76.76,98.44,50.83,55.14,78.87,101.53,79.81,103.72,46.68,40.65,46.68,55.98
94.94,118.74,77.02,103.18,51.8,1.81,71.95,95.37,75.23,97.26,46.68,46.68,46.68,55.98
94.94,118.73,72.74,97.47,51.12,2.12,71.96,95.37,74.93,96.12,54.2,46.68,55.98,55.98
94.94,118.73,72.74,97.47,49.64,2.09,71.95,95.37,74.74,95.73,62.25,54.2,62.25,166.34
94.94,118.73,72.74,97.47,46.03,1.89,71.95,95.36,74.28,95.18,125.16,140.2,111.86,55.98
94.94,118.73,72.74,97.47,44.12,2.31,71.95,95.36,74.46,95.26,62.25,46.68,62.25,55.98
94.94,118.73,72.74,97.48,44.16,2.24,71.95,92.65,75.4,96.72,62.25,46.68,62.25,55.98
94.94,118.73,72.75,97.48,52.27,2.33,79.74,95.37,76.41,98.06,62.25,46.68,62.25,55.98
94.94,118.74,72.76,97.49,52.52,9.34,80.85,95.36,76.82,98.72,62.25,46.68,66.14,55.98
94.94,118.75,72.98,97.88,52.49,9.79,69.36,52.12,75.58,97.74,55.98,46.68,62.25,55.98
94.95,118.75,0,0,51.93,9.55,1.36,0.99,70.18,89.04,55.98,46.68,62.25,55.98
94.95,118.75,0,0,44.26,8.05,1.36,0.99,66.91,85.7,54.2,46.68,46.68,54.2
88.23,108.01,0,0,42.21,7.32,1.36,0.99,66.05,85.43,54.2,46.68,46.68,54.2
74.83,93.64,0,0,43.04,7.77,1.36,0.99,66.01,85.38,46.68,46.68,46.68,41.98
74.81,93.68,0,0,42.25,7.29,1.36,0.99,66.12,85.63,46.68,46.68,46.68,9.19
74.78,93.7,0,0,42.13,7.59,1.36,0,65.9,85.63,46.68,46.68,46.68,9.19
74.81,93.7,0,0,42.68,7.49,1.36,0.99,66.28,85.96,46.68,35.01,28,9.19
74.77,93.67,0,0,42.58,8.39,1.37,1.3,72.22,93.64,46.68,0,22.67,41.98
